//Data taken From : https://nepalstock.com.np/stock-trading
//has updated till 2026-03-12 to 2026-06-09

BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2026-06-11,857,875,850,32410,27805370,925
2026-06-10,862,874.9,855,38150,32921450,1040
2026-06-09,865.9,882.9,835.2,46912,40554858.5,1168
2026-06-08,885,885,856.3,54037,46912792,1423
2026-06-05,886,925,875.3,97790,87534480.1,1740
2026-06-04,925,965,920,64479,60696576.6,1262
2026-06-03,960.1,975.9,955,23972,23129979.2,1017
2026-06-02,958,965,950,30739,29473896.6,1009
2026-06-01,955,988.1,953.1,51409,49629970.2,1193
2026-05-27,988.1,1010,986,41839,41662787.2,1045
2026-05-26,1008.7,1028.9,971,63585,64228449.8,1603
2026-05-25,1022.1,1042,985,81719,83519163.1,2492
2026-05-22,1000,1002,957.1,86018,84643211.3,1770
2026-05-21,960,989,955,49850,48256106.5,1015
2026-05-20,976,986.7,950,42355,41083802.6,1215
2026-05-19,958,980,956,34277,33022141.8,1273
2026-05-18,975,997,966,25347,24868242.6,1064
2026-05-15,985.1,1005,963.5,51961,51150050.7,1371
2026-05-14,968.9,988,951,73005,70720224.7,1418
2026-05-13,989,999,981.1,44049,43535734.6,1291
2026-05-12,1000,1077,999,104518,107422786.1,2242
2026-05-11,1065,1107,1020,90355,96501737.1,2624
2026-05-08,1073,1076,995.3,132782,138694649.2,3671
2026-05-07,994.4,1004,986,37729,37431526.6,1381
2026-05-06,988,1020,982,51679,51786312.1,1881
2026-05-05,994,1019,972,58778,58737483.4,2282
2026-05-04,1000,1020,980,51713,51137885.8,2351
2026-04-30,1024,1045,956.6,94735,94168284.9,3649
2026-04-29,1005,1065.2,995.1,119051,120424348.7,6217
2026-04-28,1060,1191,1038,189770,206007502,9592
2026-04-27,1148,1225,1148,105359,124011852.6,5889
2026-04-24,1195,1225,1111,111477,128612529.4,7897
2026-04-23,1180,1237,1142,188547,221559006.3,15428
2026-04-22,1237,1404,1208.1,228942,285967762.7,21374
2026-04-21,1386,1450.6,1286,159134,222342401.2,14055
2026-04-20,1261.4,1261.4,1151.7,292797,360159585.9,27772
2026-04-17,1096.9,1096.9,1017.1,11840,12982146,1184
2026-04-16,997.2,997.2,924.7,5250,5233520,525
2026-04-15,906.6,906.6,840.6,3760,3405876,376
2026-04-13,824.2,824.2,764.2,4160,3424796,416
2026-04-10,749.3,749.3,694.8,2140,1602162,214
2026-04-09,681.2,681.2,610.7,2390,1625715,239
2026-04-08,619.3,619.3,574.2,1220,754437,122
2026-04-07,563,563,513.7,1090,611752,109
2026-04-06,511.9,511.9,474.7,1310,668929,131
2026-04-05,465.4,465.4,423.1,960,444682,96
2026-04-02,423.1,423.1,381.7,590,247484,59
2026-04-01,384.7,384.7,356,450,172111,45
2026-03-31,349.8,349.8,316,370,128366,37
2026-03-30,318,318,289.1,470,147731,47
2026-03-29,289.1,289.1,264.6,410,117349,41
2026-03-26,262.9,262.9,237.3,208,53562.2,21
2026-03-25,239,239,215,270,63505,27
2026-03-24,217.3,217.3,195.7,200,42759,20
2026-03-23,197.6,197.6,176.4,250,48663,25
2026-03-22,179.7,179.7,166.5,300,53185,30
2026-03-19,163.4,163.4,147,190,30506,19
2026-03-17,148.6,148.6,137.8,90,13107,9
2026-03-16,135.1,135.1,121.7,150,19828,15
2026-03-15,122.9,122.9,110.7,140,16688,14
